Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Libya,Africa,7040745,507264,0.0,6437.0,0.0,500826.0,0.0,1.0,0.0,72047,914.0,2483848.0,352782.0,EasternMediterranean
Ethiopia,Africa,120812698,500912,0.0,7574.0,0.0,488133.0,0.0,5205.0,1.0,4146,63.0,5554931.0,45980.0,Africa
Réunion,Africa,908061,486588,0.0,921.0,0.0,418572.0,0.0,67095.0,10.0,535854,1014.0,1603660.0,1766027.0,0
Honduras,North America,10221247,472619,0.0,11116.0,0.0,0.0,0.0,0.0,105.0,46239,1088.0,1660662.0,162472.0,Americas
Armenia,Asia,2971966,449203,0.0,8750.0,0.0,435162.0,0.0,5291.0,0.0,151147,2944.0,3242901.0,1091164.0,Europe
Bosnia and Herzegovina,Europe,3249317,402998,0.0,16347.0,0.0,379084.0,0.0,7567.0,0.0,124025,5031.0,1884721.0,580036.0,Europe
Oman,Asia,5323993,399449,0.0,4628.0,0.0,384669.0,0.0,10152.0,2.0,75028,869.0,25000000.0,4695724.0,EasternMediterranean
North Macedonia,Europe,2081304,348281,0.0,9677.0,0.0,337068.0,0.0,1536.0,0.0,167338,4649.0,2226216.0,1069626.0,Europe
Zambia,Africa,19470234,343995,0.0,4058.0,0.0,339858.0,0.0,79.0,0.0,17668,208.0,4047915.0,207903.0,Africa
Kenya,Africa,56215221,343312,0.0,5688.0,0.0,337309.0,0.0,315.0,1.0,6107,101.0,3967062.0,70569.0,Africa
Albania,Europe,2866374,334726,0.0,3602.0,0.0,329428.0,0.0,1696.0,0.0,116777,1257.0,1941032.0,677173.0,Europe
Botswana,Africa,2441162,329938,0.0,2801.0,0.0,327049.0,0.0,88.0,1.0,135156,1147.0,2026898.0,830300.0,Africa
Luxembourg,Europe,642371,319959,0.0,1232.0,0.0,316690.0,0.0,2037.0,0.0,498091,1918.0,4587145.0,7140959.0,Europe
Brunei ,Asia,445431,306333,0.0,225.0,0.0,243601.0,0.0,62507.0,3.0,687723,505.0,717784.0,1611437.0,0
Montenegro,Europe,627950,291911,0.0,2828.0,0.0,288614.0,0.0,469.0,6.0,464863,4504.0,2757845.0,4391823.0,Europe
Algeria,Africa,45350148,271842,0.0,6881.0,0.0,183055.0,0.0,81906.0,0.0,5994,152.0,230960.0,5093.0,Africa
Nigeria,Africa,216746934,266675,0.0,3155.0,0.0,259953.0,0.0,3567.0,11.0,1230,15.0,5708974.0,26339.0,Africa
Zimbabwe,Africa,15331428,265139,0.0,5695.0,0.0,258888.0,0.0,556.0,12.0,17294,371.0,2525756.0,164744.0,Africa
Uzbekistan,Asia,34382084,253662,0.0,1637.0,0.0,241486.0,0.0,10539.0,23.0,7378,48.0,1377915.0,40077.0,Europe
Mozambique,Africa,33089461,233417,0.0,2243.0,0.0,228805.0,0.0,2369.0,11.0,7054,68.0,1371127.0,41437.0,Africa
Martinique,North America,374087,229975,0.0,1102.0,0.0,0.0,0.0,0.0,12.0,614763,2946.0,828928.0,2215870.0,0
Afghanistan,Asia,40754388,222248,0.0,7918.0,0.0,200041.0,0.0,14289.0,45.0,5453,194.0,1265782.0,31059.0,EasternMediterranean
Laos,Asia,7481023,218298,6.0,758.0,0.0,0.0,0.0,0.0,0.0,29180,101.0,1233207.0,164845.0,WesternPacific
Iceland,Europe,345393,209191,0.0,229.0,0.0,0.0,0.0,0.0,2.0,605661,663.0,1996384.0,5780036.0,Europe
Kyrgyzstan,Asia,6728271,206890,0.0,2991.0,0.0,196406.0,0.0,7493.0,131.0,30749,445.0,1907195.0,283460.0,Europe
Guadeloupe,North America,399794,202836,0.0,1017.0,0.0,0.0,0.0,0.0,19.0,507351,2544.0,938039.0,2346306.0,0
El Salvador,North America,6550389,201785,0.0,4230.0,0.0,179410.0,0.0,18145.0,8.0,30805,646.0,2610114.0,398467.0,Americas
Trinidad and Tobago,North America,1406585,191496,0.0,4390.0,0.0,187078.0,0.0,28.0,8.0,136143,3121.0,913289.0,649295.0,Americas
Maldives,Asia,540985,186672,0.0,316.0,0.0,163687.0,0.0,22669.0,25.0,345059,584.0,2213831.0,4092223.0,South-EastAsia
Ghana,Africa,32395450,171657,0.0,1462.0,0.0,170161.0,0.0,34.0,2.0,5299,45.0,2536496.0,78298.0,Africa
Namibia,Africa,2633874,171310,0.0,4091.0,0.0,167099.0,0.0,120.0,0.0,65041,1553.0,1062663.0,403460.0,Africa
Uganda,Africa,48432863,170775,0.0,3632.0,0.0,100431.0,0.0,66712.0,3.0,3526,75.0,3012408.0,62198.0,Africa
Jamaica,North America,2985094,155063,0.0,3550.0,0.0,102987.0,0.0,48526.0,0.0,51946,1189.0,1183986.0,396633.0,Americas
Cambodia,Asia,17168639,138836,14.0,3056.0,0.0,135732.0,4.0,48.0,0.0,8087,178.0,3091420.0,180062.0,WesternPacific
Rwanda,Africa,13600464,133194,0.0,1468.0,0.0,131647.0,0.0,79.0,0.0,9793,108.0,6021981.0,442778.0,Africa
Cameroon,Africa,27911548,125036,0.0,1972.0,0.0,122807.0,0.0,257.0,13.0,4480,71.0,1751774.0,62762.0,Africa
Malta,Europe,444033,118815,0.0,839.0,0.0,117412.0,0.0,564.0,4.0,267581,1889.0,2140075.0,4819631.0,Europe
Barbados,North America,288023,107794,0.0,593.0,0.0,106971.0,0.0,230.0,0.0,374255,2059.0,801451.0,2782594.0,Americas
Angola,Africa,35027343,105384,0.0,1934.0,0.0,103419.0,0.0,31.0,0.0,3009,55.0,1499795.0,42818.0,Africa
Channel Islands,Europe,176463,101717,0.0,228.0,0.0,101321.0,0.0,168.0,0.0,576421,1292.0,1252808.0,7099551.0,0
French Guiana,South America,314169,98041,0.0,420.0,0.0,11254.0,0.0,86367.0,6.0,312065,1337.0,651257.0,2072951.0,0
DRC,Africa,95240792,96890,0.0,1467.0,0.0,84489.0,0.0,10934.0,0.0,1017,15.0,846704.0,8890.0,Africa
Senegal,Africa,17653671,88999,0.0,1971.0,0.0,87024.0,0.0,4.0,0.0,5041,112.0,1146543.0,64946.0,Africa
