Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Grenada,North America,113475,19693,0.0,238.0,0.0,19358.0,0.0,97.0,4.0,173545,2097.0,182981.0,1612523.0,Americas
Bermuda,North America,61939,18860,0.0,165.0,0.0,18685.0,0.0,10.0,0.0,304493,2664.0,1029558.0,16622128.0,Americas
Nicaragua,North America,6779100,18491,0.0,225.0,0.0,4225.0,0.0,14041.0,0.0,2728,33.0,0.0,0.0,Americas
South Sudan,Africa,11618511,18368,0.0,138.0,0.0,18115.0,0.0,115.0,1.0,1581,12.0,410280.0,35313.0,Africa
Tajikistan,Asia,9957464,17786,0.0,125.0,0.0,17264.0,0.0,397.0,0.0,1786,13.0,0.0,0.0,Europe
Equatorial Guinea,Africa,1496662,17229,0.0,183.0,0.0,16907.0,0.0,139.0,5.0,11512,122.0,365697.0,244342.0,Africa
Tonga,Australia/Oceania,107749,16817,0.0,13.0,0.0,15638.0,0.0,1166.0,0.0,156076,121.0,535009.0,4965327.0,WesternPacific
Monaco,Europe,39783,16804,0.0,67.0,0.0,15992.0,0.0,745.0,4.0,422391,1684.0,78646.0,1976875.0,Europe
Samoa,Australia/Oceania,202239,16763,0.0,31.0,0.0,1605.0,0.0,15127.0,0.0,82887,153.0,187397.0,926612.0,WesternPacific
Marshall Islands,Australia/Oceania,60057,16098,0.0,17.0,0.0,16079.0,0.0,2.0,0.0,268045,283.0,0.0,0.0,WesternPacific
Dominica,North America,72344,15760,0.0,74.0,0.0,15673.0,0.0,13.0,0.0,217848,1023.0,229344.0,3170187.0,Americas
Djibouti,Africa,1016097,15690,0.0,189.0,0.0,15427.0,0.0,74.0,0.0,15441,186.0,305941.0,301094.0,EasternMediterranean
CAR,Africa,5016678,15368,0.0,113.0,0.0,15200.0,0.0,55.0,2.0,3063,23.0,81294.0,16205.0,0
